Adlercreutzia	Agathobacter	Akkermansia	Alistipes	Anaerostipes	Angelakisella	Bacteroides	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	CAG.56	Christensenellaceae.R.7.group	Clostridium.sensu.stricto.1	Colidextribacter	Collinsella	Coprococcus	DTU089	Dialister	Dorea	Erysipelatoclostridium	Erysipelotrichaceae.UCG.003	Escherichia.Shigella	Faecalibacterium	Family.XIII.AD3011.group	Family.XIII.UCG.001	Flavonifractor	Fusicatenibacter	GCA.900066575	Haemophilus	Holdemania	Incertae.Sedis	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.AC2044.group	Lachnospiraceae.FCS020.group	Lachnospiraceae.ND3007.group	Lachnospiraceae.NK4A136.group	Lachnospiraceae.UCG.001	Lachnospiraceae.UCG.004	Lachnospiraceae.UCG.009	Lachnospiraceae.UCG.010	Lachnotalea	Marvinbryantia	Methanobrevibacter	Monoglobus	NK4A214.group	Odoribacter	Oscillibacter	Oscillospira	Oxalobacter	Parabacteroides	Parasutterella	Phascolarctobacterium	Prevotella_9	Romboutsia	Roseburia	Ruminococcus	Shuttleworthia	Streptococcus	Subdoligranulum	Sutterella	Terrisporobacter	Turicibacter	UBA1819	UCG.002	UCG.003	UCG.005	UCG.009	X.Eubacterium..eligens.group	X.Eubacterium..fissicatena.group	X.Eubacterium..hallii.group	X.Eubacterium..ruminantium.group	X.Eubacterium..siraeum.group	X.Eubacterium..ventriosum.group	X.Eubacterium..xylanophilum.group	X.Ruminococcus..gauvreauii.group	X.Ruminococcus..gnavus.group	X.Ruminococcus..torques.group	f_Christensenellaceae_ASV181	f_Coriobacteriales.Incertae.Sedis_ASV433	f_Eggerthellaceae_ASV319	f_Erysipelotrichaceae_ASV487	f_Lachnospiraceae_ASV117	f_Lachnospiraceae_ASV239	f_Lachnospiraceae_ASV259	f_Lachnospiraceae_ASV275	f_Lachnospiraceae_ASV283	f_Lachnospiraceae_ASV297	f_Lachnospiraceae_ASV326	f_Lachnospiraceae_ASV384	f_Lachnospiraceae_ASV398	f_Lachnospiraceae_ASV410	f_Lachnospiraceae_ASV514	f_Lachnospiraceae_ASV532	f_Lachnospiraceae_ASV555	f_Lachnospiraceae_ASV558	f_NA_ASV128	f_NA_ASV156	f_NA_ASV184	f_NA_ASV516	f_NA_ASV691	f_Oscillospiraceae_ASV141	f_Ruminococcaceae_ASV327	f_Ruminococcaceae_ASV610	f_UCG.010_ASV245	f_UCG.010_ASV667	f_.Eubacterium..coprostanoligenes.group_ASV203
BSS046	0	2315	0	380	265	1	2969	436	1	2496	135	7	55	1202	136	47	18	949	0	44	169	0	85	3	2395	6	0	2	841	3	60	1	24	42	0	140	233	10	13	194	58	0	88	3	6	3	36	23	80	51	28	4	5	16	148	13	25	1145	465	328	787	8	36	1338	139	205	43	6	139	158	159	1	217	0	230	1	433	29	114	9	14	107	47	0	11	0	1	18	3	5	3	6	5	0	0	13	0	4	1	7	732	0	52	0	1	23	1	3	12	2	0
BSS047	0	1513	0	720	619	0	5181	2689	1	1291	146	0	172	0	25	0	130	211	0	0	488	0	0	9	552	0	0	242	587	0	5	0	1	95	0	395	124	0	0	0	350	0	144	4	0	0	0	0	133	0	0	112	0	0	218	18	0	8022	908	278	1	0	19	200	770	0	1	8	0	1	0	0	17	0	302	1	0	19	0	0	22	376	0	0	15	0	10	2	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSS052	1	2288	0	292	997	0	9228	256	0	1966	193	29	0	0	16	29	113	174	2	74	230	15	348	2	2840	1	0	8	1694	2	71	6	5	5	35	234	199	0	48	93	26	294	148	0	46	9	5	0	77	0	0	9	24	0	0	227	0	0	3	627	1	0	8	658	0	1	9	0	3	22	0	0	6	1	272	0	1	77	0	85	0	253	0	0	43	0	0	48	7	5	9	0	17	16	2	0	0	9	8	2	0	0	0	0	0	17	9	0	0	0	0
BSS054	0	609	0	669	628	4	7375	1	682	3163	243	0	0	62	0	10	66	389	0	0	61	7	16	1	810	2	2	18	844	6	1	0	9	3	8	153	24	0	0	212	234	0	286	3	45	0	22	0	59	5	26	34	12	0	191	893	176	4	1	179	2	0	4	2405	0	0	2	1	174	0	5	5	0	3	755	0	7	76	37	114	13	87	0	29	0	0	0	15	0	1	2	0	26	0	25	30	0	0	0	0	0	0	0	0	1	72	5	2	0	0	0
BSS056	2	1188	0	511	272	0	6303	86	55	2215	134	0	163	19	31	8	61	71	0	106	146	0	43	4	2377	0	14	6	777	0	37	1	13	13	10	152	406	0	24	152	158	287	90	3	45	0	11	0	100	23	31	15	0	0	284	397	0	1	46	212	18	0	76	667	0	6	27	0	171	86	22	0	113	1	252	687	313	25	15	119	5	85	0	1	17	0	0	2	0	0	0	0	4	2	10	0	0	0	0	2	0	1	0	0	1	25	0	3	0	2	43
BSS058	0	3085	0	111	216	0	6690	2160	62	1864	12	0	0	34	51	66	47	75	1	0	370	55	603	133	2421	0	5	90	1073	0	3	11	119	219	13	124	822	0	0	37	51	2	20	8	1	0	0	0	93	37	88	29	1	0	879	8	58	2	83	278	165	0	81	660	321	42	67	13	7	2	1	0	63	0	404	0	2	61	0	45	177	229	0	0	0	1	1	7	1	0	6	0	0	4	0	6	0	0	0	0	0	0	0	0	20	72	22	0	1	2	0
BSS059	0	254	1	218	244	0	11913	236	74	1924	143	0	189	15	0	2	0	96	0	0	68	1	117	0	1660	0	0	9	318	0	259	1	7	5	0	618	56	0	13	142	7	0	181	1	35	0	7	0	96	0	31	5	0	0	332	49	107	37	0	110	135	0	30	499	0	0	0	2	1	0	3	0	69	2	230	0	0	6	0	161	2	98	0	0	0	0	0	22	14	13	13	0	9	5	2	16	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0
BSS062	1	1037	0	202	365	5	2703	1881	398	1644	106	30	21	33	0	28	148	110	2	0	399	0	65	11	964	4	0	34	303	3	0	3	129	2	6	495	229	0	2	107	85	0	31	1	42	0	8	0	10	19	26	60	5	0	301	221	0	5438	23	99	481	0	55	447	1	1	2	17	346	7	65	1	0	2	168	102	0	20	0	225	1	250	0	4	0	0	1	4	27	1	5	0	10	2	0	2	14	0	0	0	0	0	0	16	4	47	5	1	8	16	136
BSS063	3	365	411	58	956	2	2536	1454	4	1875	114	0	3	3351	171	18	154	856	0	26	376	0	6	0	639	47	0	0	913	23	8	0	40	3	0	24	26	165	71	722	40	0	56	0	125	11	244	917	42	230	49	0	0	0	36	0	64	3	423	328	57	5	7	404	0	0	7	4	507	26	648	0	22	0	410	80	21	3	35	180	0	64	0	0	16	0	13	4	12	14	4	0	9	2	3	3	0	0	1	17	0	0	0	0	6	0	0	0	597	0	75
BSS064	6	590	461	721	1003	0	7014	235	0	2276	6	0	15	140	50	13	30	103	3	0	103	0	46	9	2223	4	18	17	225	3	5	1	51	1	2	165	155	4	20	170	155	17	50	0	36	0	39	0	54	161	81	29	4	0	344	0	0	496	9	117	1313	8	118	320	0	0	2	4	1099	59	454	26	39	0	229	29	14	38	19	18	0	284	0	0	12	0	2	7	2	19	15	0	6	3	14	3	16	0	3	5	0	0	37	0	0	0	31	26	0	0	0
BSS065	4	826	0	725	57	15	3906	870	194	1962	50	0	241	42	16	32	284	181	1	0	399	0	67	15	694	8	7	23	216	0	1	4	128	5	2	638	0	1	6	50	36	0	42	0	7	0	31	0	63	50	10	48	4	0	1383	28	39	11744	124	190	27	0	8	537	836	0	4	7	243	33	65	0	11	4	223	0	11	197	0	1	81	233	0	9	0	18	2	8	25	0	11	45	0	1	0	13	0	0	0	2	0	0	0	11	3	0	0	5	0	0	0
BSS066	5	262	0	986	303	0	8769	733	190	2332	131	0	201	55	4	53	0	177	2	26	250	10	78	5	4430	25	0	51	501	13	11	3	41	11	28	503	507	0	14	98	88	0	234	0	2	0	18	0	54	0	47	75	21	0	539	546	46	3	58	180	140	0	51	380	0	6	68	3	182	39	51	0	11	0	141	0	0	158	0	87	24	2	0	1	0	12	0	15	29	0	21	11	5	5	0	7	0	12	12	0	1	0	0	0	0	0	23	1	0	0	0
BSS068	9	477	0	593	189	0	5994	0	40	4934	78	0	0	2	0	85	82	633	2	0	247	0	2	0	455	10	0	19	457	0	0	11	34	0	9	170	0	0	6	0	190	0	78	25	131	0	24	0	0	0	28	56	4	0	102	379	0	1	0	56	2	0	98	953	65	0	0	8	40	15	18	0	1	2	512	1	27	57	0	0	66	653	0	2	18	0	0	0	20	8	18	63	23	0	0	0	0	0	2	4	0	1	0	0	6	109	20	2	0	0	0
BSS070	10	1593	357	1149	394	10	1224	92	67	1984	118	0	163	483	128	27	53	311	1	525	278	17	350	0	2977	11	0	3	338	11	1	3	59	0	3	142	206	5	57	220	49	46	78	3	67	6	124	0	171	28	0	2	1	30	128	0	0	1595	264	332	460	3	13	186	612	37	16	3	500	69	201	0	278	6	301	146	145	71	21	195	0	246	0	0	31	0	1	33	26	7	20	3	13	15	15	10	2	10	11	2	39	26	50	7	8	63	17	0	45	3	0
BSS072	7	1058	1099	1960	258	5	5186	383	80	2653	32	0	154	1678	68	35	147	405	1	98	201	0	151	44	1372	31	0	24	568	5	19	0	37	180	0	109	119	0	22	280	534	14	14	2	3	0	35	0	210	0	24	21	0	0	643	214	47	0	89	203	2236	0	67	649	0	1	106	4	842	67	539	0	172	0	100	31	41	77	79	29	6	503	0	0	20	0	0	7	1	10	12	9	19	3	0	0	0	0	0	4	0	0	50	7	4	0	24	0	6	0	68
BSS077	7	699	0	1240	302	10	1171	238	93	1319	65	0	96	1017	192	26	56	129	4	56	320	11	73	5	1774	17	7	9	703	5	1	2	19	11	7	55	194	0	24	282	175	1	35	2	20	0	60	80	31	22	66	13	2	0	122	105	0	0	110	303	1299	0	36	1590	0	2	12	6	237	22	304	0	64	4	89	207	152	48	12	100	0	370	14	2	0	11	67	6	6	8	9	17	0	2	10	1	0	0	1	6	93	36	180	0	3	36	13	12	41	18	53
BSS080	0	3176	0	290	993	0	10440	0	167	3099	137	0	147	14	2	52	44	137	0	89	496	19	222	98	2219	24	0	37	1382	3	0	0	230	141	6	209	125	1	12	1	69	6	151	1	1	0	4	0	3	32	3	17	3	0	895	0	0	0	45	149	0	0	97	239	2	0	7	0	260	86	18	1	1	0	242	0	1	0	0	134	5	544	0	0	0	0	0	11	7	6	9	12	0	11	0	0	0	0	13	3	0	0	1	0	3	34	35	0	0	0	0
BSS083	0	1390	0	408	279	29	12211	249	157	4354	57	0	0	0	0	58	35	104	1	0	273	9	214	50	992	2	0	31	899	0	3	6	4	147	3	243	92	0	12	0	12	17	65	6	19	0	0	0	251	0	37	33	6	1	315	378	62	3	25	356	789	0	24	339	0	1	16	4	1	19	16	0	51	0	310	0	0	1	13	113	12	430	0	1	4	0	0	11	18	7	0	0	7	11	0	7	0	10	0	0	0	0	0	2	0	47	13	0	0	0	0
